Concordant	Discordant	Missing	Filtered	TP	FP	TN	FN	svtype	program	sample	technology	coverage	experiment
6313	6936	0	0	12943	4303	6391	2861	INS	cutesv	HG00733	r10	8x	ds
11574	9711	0	0	21248	5186	11112	5024	TOT	cutesv	HG00733	r10	8x	ds
6720	1209	0	0	9711	656	4858	633	DEL	orig	HG00733	r10	8x	ds
7876	5321	0	0	14566	4239	6405	1184	INS	orig	HG00733	r10	8x	ds
14596	6530	0	0	24277	4895	11263	1817	TOT	orig	HG00733	r10	8x	ds
6656	2069	54	681	9500	1760	5729	461	DEL	kanpig	HG00733	r9	8x	ts
9968	5705	102	0	13853	4624	11557	1312	INS	kanpig	HG00733	r9	8x	ts
16624	7774	156	681	23353	6384	17286	1773	TOT	kanpig	HG00733	r9	8x	ts
7494	1228	57	680	10832	430	5355	827	DEL	svjedi	HG00733	r9	8x	ts
10337	5033	405	0	17499	680	8192	4369	INS	svjedi	HG00733	r9	8x	ts
17831	6261	462	680	28331	1110	13547	5196	TOT	svjedi	HG00733	r9	8x	ts
6426	2306	47	680	9915	1352	5135	1062	DEL	sniffles	HG00733	r9	8x	ts
8407	7269	99	0	15989	2491	7958	4914	INS	sniffles	HG00733	r9	8x	ts
14833	9575	146	680	25904	3843	13093	5976	TOT	sniffles	HG00733	r9	8x	ts
5562	3217	0	680	8596	2728	5395	839	DEL	cutesv	HG00733	r9	8x	ts
7049	8621	105	105	13318	5173	8946	3903	INS	cutesv	HG00733	r9	8x	ts
12611	11838	105	785	21914	7901	14341	4742	TOT	cutesv	HG00733	r9	8x	ts
5882	2089	0	0	8755	611	4935	1641	DEL	kanpig	HG00733	r9	8x	ds
6356	6968	0	0	11663	3085	7693	4207	INS	kanpig	HG00733	r9	8x	ds
12238	9057	0	0	20418	3696	12628	5848	TOT	kanpig	HG00733	r9	8x	ds
6182	1685	0	0	9443	966	4511	814	DEL	svjedi	HG00733	r9	8x	ds
6976	5983	0	0	13958	4598	5863	1499	INS	svjedi	HG00733	r9	8x	ds
